За период;Учетный месяц;Дата документа;Создан;Тип;Расход;Сумма;Статус
05.2018;05.2018;27.06.2018;27.06.2018 05:26;Начисление;Норматив 18,5;112.85;Проведён
03.2018;03.2018;06.03.2018;06.03.2018 11:31;Начисление;Норматив 18,5;125.80;Проведён
02.2018;02.2018;06.02.2018;06.02.2018 14:50;Начисление;Норматив 18,5;125.80;Проведён
01.2018;01.2018;15.01.2018;15.01.2018 14:10;Начисление;Норматив 18,5;119.33;Проведён
12.2017;01.2018;15.01.2018;15.01.2018 15:43;Перерасчет;Норматив 18,5;119.33;Проведён
11.2017;11.2017;29.12.2017;29.12.2017 11:50;Начисление;Норматив 18,5;119.33;Проведён
10.2017;10.2017;01.10.2017;01.10.2017 02:52;Начисление;Норматив 18,5;119.33;Проведён
09.2017;09.2017;30.09.2017;30.09.2017 06:32;Начисление;Норматив 18,5;119.33;Проведён
08.2017;08.2017;01.09.2017;01.09.2017 04:59;Начисление;Норматив 18,5;119.33;Проведён
07.2017;07.2017;01.08.2017;01.08.2017 20:35;Начисление;Норматив 18,5;119.33;Проведён
06.2017;06.2017;01.07.2017;01.07.2017 23:21;Начисление;Норматив 18,5;119.33;Проведён
05.2017;05.2017;31.05.2017;31.05.2017 09:57;Начисление;Норматив 18,5;119.33;Проведён
04.2017;04.2017;29.04.2017;29.04.2017 07:50;Начисление;Норматив 18,5;119.33;Проведён
03.2017;03.2017;30.03.2017;30.03.2017 10:48;Начисление;Норматив 18,5;119.33;Проведён
02.2017;02.2017;25.02.2017;25.02.2017 22:54;Начисление;Норматив 18,5;119.33;Проведён
01.2017;01.2017;01.02.2017;01.02.2017 22:47;Начисление;Норматив 18,5;119.33;Проведён
12.2016;12.2016;29.12.2016;29.12.2016 18:10;Начисление;Норматив 18,5;112.85;Проведён
11.2016;11.2016;30.11.2016;30.11.2016 00:43;Начисление;Норматив 18,5;112.85;Проведён
10.2016;10.2016;30.10.2016;30.10.2016 05:00;Начисление;Норматив 18,5;112.85;Проведён
09.2016;09.2016;29.09.2016;29.09.2016 08:40;Начисление;Норматив 18,5;112.85;Проведён
08.2016;08.2016;31.08.2016;31.08.2016 06:43;Начисление;Норматив 18,5;112.85;Проведён
07.2016;07.2016;31.07.2016;31.07.2016 23:58;Начисление;Норматив 18,5;112.85;Проведён
06.2016;06.2016;29.06.2016;29.06.2016 23:14;Начисление;Норматив 18,5;112.85;Проведён
05.2016;05.2016;29.05.2016;29.05.2016 18:32;Начисление;Норматив 18,5;112.85;Проведён
04.2016;04.2016;27.04.2016;27.04.2016 18:29;Начисление;Норматив 18,5;112.85;Проведён
03.2016;03.2016;30.03.2016;31.03.2016 00:36;Начисление;Норматив 18,5;112.85;Проведён
02.2016;02.2016;02.03.2016;02.03.2016 08:16;Начисление;Норматив 18,5;112.85;Проведён
01.2016;01.2016;30.01.2016;30.01.2016 10:08;Начисление;Норматив 18,5;112.85;Проведён
12.2015;12.2015;28.12.2015;28.12.2015 07:29;Начисление;Норматив 18,5;112.85;Проведён
11.2015;11.2015;01.11.2015;01.11.2015 15:35;Начисление;Норматив 18,5;112.85;Проведён
10.2015;10.2015;01.11.2015;01.11.2015 12:42;Начисление;Норматив 18,5;112.85;Проведён
09.2015;09.2015;01.10.2015;01.10.2015 05:07;Начисление;Норматив 18,5;112.85;Проведён
08.2015;08.2015;30.08.2015;30.08.2015 05:53;Начисление;Норматив 18,5;112.85;Проведён
07.2015;07.2015;06.08.2015;06.08.2015 08:24;Начисление;Норматив 18,5;112.85;Проведён
06.2015;06.2015;07.07.2015;07.07.2015 03:44;Начисление;Норматив 18,5;112.85;Проведён
05.2015;05.2015;05.06.2015;05.06.2015 02:33;Начисление;Норматив 18,5;112.85;Проведён
04.2015;04.2015;06.05.2015;06.05.2015 02:50;Начисление;Норматив 18,5;112.85;Проведён
11.2014;04.2015;06.05.2015;06.05.2015 02:50;Перерасчет;Норматив 18,5;103.60;Проведён
12.2014;04.2015;06.05.2015;06.05.2015 02:50;Перерасчет;Норматив 18,5;103.60;Проведён
10.2014;04.2015;06.05.2015;06.05.2015 02:50;Перерасчет;Норматив 18,5;103.60;Проведён
08.2014;04.2015;06.05.2015;06.05.2015 02:50;Перерасчет;Норматив 18,5;103.60;Проведён
03.2015;04.2015;06.05.2015;06.05.2015 02:50;Перерасчет;Норматив 18,5;112.85;Проведён
02.2015;04.2015;06.05.2015;06.05.2015 02:50;Перерасчет;Норматив 18,5;112.85;Проведён
01.2015;04.2015;06.05.2015;06.05.2015 02:50;Перерасчет;Норматив 18,5;112.85;Проведён
09.2014;04.2015;06.05.2015;06.05.2015 02:50;Перерасчет;Норматив 18,5;103.60;Проведён
